,code,更新日期,code1,股票简称,Wind一级行业,Wind二级行业,公司属性,wind1,wind2,company
0,000009.SZ,2023/11/17,9,中国宝安,工业,资本货物,公众企业,0,0,0
1,000012.SZ,2023/11/17,12,南玻A,材料,材料Ⅱ,公众企业,1,1,0
2,000021.SZ,2023/11/17,21,深科技,信息技术,技术硬件与设备,中央国有企业,2,2,1
3,000027.SZ,2023/11/17,27,深圳能源,公用事业,公用事业Ⅱ,地方国有企业,3,3,2
4,000028.SZ,2023/11/17,28,国药一致,医疗保健,医疗保健设备与服务,中央国有企业,4,4,1
5,000031.SZ,2023/11/17,31,大悦城,房地产,房地产Ⅱ,中央国有企业,5,5,1
6,000039.SZ,2023/11/17,39,中集集团,工业,资本货物,公众企业,0,0,0
7,000050.SZ,2023/11/17,50,深天马A,信息技术,技术硬件与设备,中央国有企业,2,2,1
8,000060.SZ,2023/11/17,60,中金岭南,材料,材料Ⅱ,地方国有企业,1,1,2
9,000062.SZ,2023/11/17,62,深圳华强,信息技术,技术硬件与设备,民营企业,2,2,3
10,000089.SZ,2023/11/17,89,深圳机场,工业,运输,地方国有企业,0,6,2
11,000156.SZ,2023/11/17,156,华数传媒,可选消费,媒体Ⅱ,地方国有企业,6,7,2
12,000158.SZ,2023/11/17,158,常山北明,信息技术,软件与服务,地方国有企业,2,8,2
13,000400.SZ,2023/11/17,400,许继电气,工业,资本货物,中央国有企业,0,0,1
14,000401.SZ,2023/11/17,401,冀东水泥,材料,材料Ⅱ,地方国有企业,1,1,2
15,000402.SZ,2023/11/17,402,金融街,房地产,房地产Ⅱ,地方国有企业,5,5,2
16,000415.SZ,2023/11/17,415,渤海租赁,金融,多元金融,公众企业,7,9,0
17,000488.SZ,2023/11/17,488,晨鸣纸业,材料,材料Ⅱ,地方国有企业,1,1,2
18,000513.SZ,2023/11/17,513,丽珠集团,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
19,000519.SZ,2023/11/17,519,中兵红箭,工业,资本货物,中央国有企业,0,0,1
20,000528.SZ,2023/11/17,528,柳工,工业,资本货物,地方国有企业,0,0,2
21,000537.SZ,2023/11/17,537,广宇发展,公用事业,公用事业Ⅱ,中央国有企业,3,3,1
22,000540.SZ,2023/11/17,540,HEUNGKUK F&M INS,金融,保险Ⅱ,民营企业,7,11,3
23,000547.SZ,2023/11/17,547,航天发展,工业,资本货物,中央国有企业,0,0,1
24,000553.SZ,2023/11/17,553,安道麦A,材料,材料Ⅱ,中央国有企业,1,1,1
25,000559.SZ,2023/11/17,559,万向钱潮,可选消费,汽车与汽车零部件,民营企业,6,12,3
26,000563.SZ,2023/11/17,563,陕国投A,金融,多元金融,地方国有企业,7,9,2
27,000581.SZ,2023/11/17,581,威孚高科,可选消费,汽车与汽车零部件,地方国有企业,6,12,2
28,000598.SZ,2023/11/17,598,兴蓉环境,公用事业,公用事业Ⅱ,地方国有企业,3,3,2
29,000623.SZ,2023/11/17,623,吉林敖东,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
30,002557.SZ,2023/11/17,2557,洽洽食品,日常消费,食品、饮料与烟草,民营企业,8,13,3
31,000629.SZ,2023/11/17,629,钒钛股份,材料,材料Ⅱ,中央国有企业,1,1,1
32,000630.SZ,2023/11/17,630,铜陵有色,材料,材料Ⅱ,地方国有企业,1,1,2
33,000636.SZ,2023/11/17,636,风华高科,信息技术,技术硬件与设备,地方国有企业,2,2,2
34,002563.SZ,2023/11/17,2563,森马服饰,可选消费,耐用消费品与服装,民营企业,6,14,3
35,000656.SZ,2023/11/17,656,金科股份,房地产,房地产Ⅱ,民营企业,5,5,3
36,000671.SZ,2023/11/17,671,ST阳光城(退市),房地产,房地产Ⅱ,民营企业,5,5,3
37,002572.SZ,2023/11/17,2572,索菲亚,可选消费,耐用消费品与服装,民营企业,6,14,3
38,000685.SZ,2023/11/17,685,中山公用,公用事业,公用事业Ⅱ,地方国有企业,3,3,2
39,000686.SZ,2023/11/17,686,东北证券,金融,多元金融,公众企业,7,9,0
40,000690.SZ,2023/11/17,690,宝新能源,公用事业,公用事业Ⅱ,民营企业,3,3,3
41,000709.SZ,2023/11/17,709,河钢股份,材料,材料Ⅱ,地方国有企业,1,1,2
42,000717.SZ,2023/11/17,717,中南股份,材料,材料Ⅱ,中央国有企业,1,1,1
43,000718.SZ,2023/11/17,718,苏宁环球,房地产,房地产Ⅱ,民营企业,5,5,3
44,002595.SZ,2023/11/17,2595,豪迈科技,工业,资本货物,民营企业,0,0,3
45,000728.SZ,2023/11/17,728,国元证券,金融,多元金融,地方国有企业,7,9,2
