p-p = -0.026926498860120773, last = buy buy
p-p = -0.006463818252086639, last = buy buy
p-p = -0.0011170152574777603, last = buy buy
p-p = -0.013881493359804153, last = buy buy
p-p = -0.013458957895636559, last = buy buy
p-p = -0.010605232790112495, last = buy buy
p-p = -0.01546899788081646, last = buy buy
p-p = -0.015371711924672127, last = buy buy
p-p = -0.008663997054100037, last = buy buy
p-p = -0.001506684347987175, last = buy buy
p-p = -0.02327987179160118, last = buy buy
p-p = -0.004718095064163208, last = buy buy
p-p = -0.02170938439667225, last = buy buy
p-p = -0.00173245370388031, last = buy buy
p-p = -0.021524108946323395, last = buy buy
p-p = -0.01910216361284256, last = buy buy
p-p = -0.005229547619819641, last = buy buy
p-p = -0.02440604194998741, last = buy buy
p-p = -0.004752114415168762, last = buy buy
p-p = -0.007340488955378532, last = buy buy
p-p = -0.017923973500728607, last = buy buy
p-p = -0.011023888364434242, last = buy buy
p-p = -0.025036823004484177, last = buy buy
p-p = -0.013252781704068184, last = buy buy
p-p = -0.004412297159433365, last = buy buy
p-p = -0.0167086161673069, last = buy buy
p-p = -0.006513798609375954, last = buy buy
p-p = -0.015368230640888214, last = buy buy
p-p = -0.004105415195226669, last = buy buy
p-p = -0.01949898898601532, last = buy buy
p-p = -0.00793905183672905, last = buy buy
p-p = -0.00141872838139534, last = buy buy
p-p = -0.015029966831207275, last = buy buy
p-p = -0.012852683663368225, last = buy buy
p-p = -0.023938287049531937, last = buy buy
p-p = -0.008294817060232162, last = buy buy
p-p = -0.02362300269305706, last = buy buy
p-p = -0.0106029212474823, last = buy buy
p-p = -0.0061232056468725204, last = buy buy
p-p = -0.010934263467788696, last = buy buy
p-p = -0.020346567034721375, last = buy buy
p-p = -0.02250131592154503, last = buy buy
p-p = -0.013794640079140663, last = buy buy
p-p = -0.008350145071744919, last = buy buy
p-p = -0.0017338134348392487, last = buy buy
p-p = -0.007739074528217316, last = buy buy
p-p = -0.008932454511523247, last = buy buy
p-p = -0.006437491625547409, last = buy buy
p-p = -0.023313473910093307, last = buy buy
p-p = -0.0074173398315906525, last = buy buy
p-p = -0.008898358792066574, last = buy buy
p-p = -0.006940394639968872, last = buy buy
p-p = -0.021189825609326363, last = buy buy
p-p = -0.0023839659988880157, last = buy buy
p-p = -0.02266635000705719, last = buy buy
p-p = -0.022038593888282776, last = buy buy
p-p = -0.02497495524585247, last = buy buy
p-p = -0.030735865235328674, last = buy buy
p-p = -0.019302092492580414, last = buy buy
p-p = -0.004824521020054817, last = buy buy
p-p = -0.0020835697650909424, last = buy buy
p-p = -0.010466627776622772, last = buy buy
p-p = -0.020452449098229408, last = buy buy
p-p = -0.006764618679881096, last = buy buy
p-p = -0.014674074947834015, last = buy buy
p-p = -0.0052047185599803925, last = buy buy
p-p = -0.009891271591186523, last = buy buy
p-p = -0.020013755187392235, last = buy buy
p-p = -0.004615321755409241, last = buy buy
p-p = -0.007286727428436279, last = buy buy
p-p = -0.014636088162660599, last = buy buy
p-p = -0.005161721259355545, last = buy buy
p-p = -0.02178836800158024, last = buy buy
p-p = -0.03344143554568291, last = buy buy
p-p = -0.004642188549041748, last = buy buy
p-p = -0.004482608288526535, last = buy buy
p-p = -0.01508568786084652, last = buy buy
p-p = -0.010333020240068436, last = buy buy
p-p = -0.016839712858200073, last = buy buy
p-p = -0.01947689615190029, last = buy buy
p-p = -0.006262321025133133, last = buy buy
p-p = -0.025334015488624573, last = buy buy
p-p = -0.003010932356119156, last = buy buy
p-p = -0.012891076505184174, last = buy buy
p-p = -0.008225785568356514, last = buy buy
p-p = -0.00573364645242691, last = buy buy
p-p = -0.024321220815181732, last = buy buy
p-p = -0.0018002837896347046, last = buy buy
p-p = -0.014571720734238625, last = buy buy
p-p = -0.019337618723511696, last = buy buy
p-p = -0.008000727742910385, last = buy buy
p-p = -0.007588706910610199, last = buy buy
p-p = -0.010521898046135902, last = buy buy
p-p = -0.009446224197745323, last = buy buy
p-p = -0.02235528454184532, last = buy buy
p-p = -0.011439379304647446, last = buy buy
p-p = -0.019079027697443962, last = buy buy
p-p = -0.011542150750756264, last = buy buy
p-p = -0.017178146168589592, last = buy buy
p-p = -0.016581108793616295, last = buy buy
p-p = -0.015113750472664833, last = buy buy
p-p = -0.01988166943192482, last = buy buy
p-p = -0.016935700550675392, last = buy buy
p-p = -0.006086509674787521, last = buy buy
p-p = -0.027027441188693047, last = buy buy
