
p-p = 0.0031768828630447388, last = sell sell
p-p = 0.003377508372068405, last = sell sell
p-p = 0.0027384161949157715, last = sell sell
p-p = 0.0012456774711608887, last = sell sell
p-p = 0.00518827885389328, last = sell sell
p-p = 0.001788262277841568, last = sell sell
p-p = 0.00492512434720993, last = sell sell
p-p = 0.0012621916830539703, last = sell sell
p-p = 0.0034774616360664368, last = sell sell
p-p = 0.009105294942855835, last = sell sell
p-p = 0.002119865268468857, last = sell sell
p-p = 0.0024116821587085724, last = sell sell
p-p = 0.0021341629326343536, last = sell sell
p-p = 0.0032125823199748993, last = sell sell
p-p = 0.0037166550755500793, last = sell sell
p-p = 0.002481011673808098, last = sell sell
p-p = 0.0015304312109947205, last = sell sell
p-p = 0.0031155943870544434, last = sell sell
p-p = 0.0019526407122612, last = sell sell
p-p = 0.0063413288444280624, last = sell sell
p-p = 0.0014133639633655548, last = sell sell
p-p = 0.003421146422624588, last = sell sell
p-p = 0.0018205717206001282, last = sell sell
p-p = 0.005438581109046936, last = sell sell
p-p = 0.0046820491552352905, last = sell sell
p-p = 0.005313016474246979, last = sell sell
p-p = 0.005025308579206467, last = sell sell
p-p = 0.0027285218238830566, last = sell sell
p-p = 0.0061738379299640656, last = sell sell
p-p = 0.007212582975625992, last = sell sell
p-p = 0.003338221460580826, last = sell sell
p-p = 0.0016249306499958038, last = sell sell
p-p = 0.0037590377032756805, last = sell sell
p-p = 0.004516195505857468, last = sell sell
p-p = 0.005013182759284973, last = sell sell
p-p = 0.002187676727771759, last = sell sell
p-p = 0.019657500088214874, last = sell sell
p-p = 0.0015486665070056915, last = sell sell
p-p = 0.0028276965022087097, last = sell sell
p-p = 0.0035645663738250732, last = sell sell
p-p = 0.005487892776727676, last = sell sell
p-p = 0.0010806210339069366, last = sell sell
p-p = 0.003083333373069763, last = sell sell
p-p = 0.002559516578912735, last = sell sell
p-p = 0.0029380284249782562, last = sell sell
p-p = 0.0021172352135181427, last = sell sell
p-p = 0.0030783601105213165, last = sell sell
p-p = 0.003245607018470764, last = sell sell
p-p = 0.005292292684316635, last = sell sell
p-p = 0.004225302487611771, last = sell sell
p-p = 0.004273205995559692, last = sell sell
p-p = 0.0034866929054260254, last = sell sell
p-p = 0.003866255283355713, last = sell sell
